timestamp,file_id,treatment_type,google_doc_id,google_doc_url,google_doc_status,google_doc_filename,status,response_status,response_data,full_name,email,phone,first_name,last_name,gender,country,geographic_cluster,job_posting_id,job_title,job_description,likely_home_country,match_score,location,date_posted,error_message
2025-08-23T23:40:17.900003,ITC resume 20.pdf,control,1mM5sq-DnOlQRnnv9ZhOTTek5yKp4A8zNrPTemPJSJBg,https://docs.google.com/document/d/1mM5sq-DnOlQRnnv9ZhOTTek5yKp4A8zNrPTemPJSJBg,200,ITC resume 20.pdf_control,success,200,"{""documentID"": ""1mM5sq-DnOlQRnnv9ZhOTTek5yKp4A8zNrPTemPJSJBg"", ""file_url"": ""https://docs.google.com/document/d/1mM5sq-DnOlQRnnv9ZhOTTek5yKp4A8zNrPTemPJSJBg"", ""status"": 200, ""fileName"": ""ITC resume 20.pdf_control""}",Amit Patel,patel.xx@gmail.com,+1 (416) 111-0001,Amit,Patel,Male,India,South Asia,689d5acce78d625301071376,Database Developer (Software Developer),Job Description\nDatabase Developer\nThis is a remote working as part of Fidelity’s dynamic working arrangement.*Current work authorization for Canada is required for all openings.*\nWhat You Will Do\...,India,90,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:40:54.374821,ITC resume 20.pdf,Type_I,1MQcZpAFTT0qA4m2ZSoncv1ytlhdPEQjPi52fNyZIZeQ,https://docs.google.com/document/d/1MQcZpAFTT0qA4m2ZSoncv1ytlhdPEQjPi52fNyZIZeQ,200,ITC resume 20_Type_I,success,200,"{""documentID"": ""1MQcZpAFTT0qA4m2ZSoncv1ytlhdPEQjPi52fNyZIZeQ"", ""file_url"": ""https://docs.google.com/document/d/1MQcZpAFTT0qA4m2ZSoncv1ytlhdPEQjPi52fNyZIZeQ"", ""status"": 200, ""fileName"": ""ITC resume 20_Type_I""}",Kavya Singh,singh.xx@gmail.com,+1 (416) 222-0002,Kavya,Singh,Female,India,South Asia,689d5acce78d625301071376,Database Developer (Software Developer),Job Description\nDatabase Developer\nThis is a remote working as part of Fidelity’s dynamic working arrangement.*Current work authorization for Canada is required for all openings.*\nWhat You Will Do\...,India,90,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:41:22.160314,ITC resume 20.pdf,Type_II,1Lnj1748MSiaJxECIdvkBuxlfgK4TAD0-NphsgL4CFJc,https://docs.google.com/document/d/1Lnj1748MSiaJxECIdvkBuxlfgK4TAD0-NphsgL4CFJc,200,ITC resume 20_Type_II,success,200,"{""documentID"": ""1Lnj1748MSiaJxECIdvkBuxlfgK4TAD0-NphsgL4CFJc"", ""file_url"": ""https://docs.google.com/document/d/1Lnj1748MSiaJxECIdvkBuxlfgK4TAD0-NphsgL4CFJc"", ""status"": 200, ""fileName"": ""ITC resume 20_Type_II""}",Sunil Kumar,kumar.xx@gmail.com,+1 (647) 333-0003,Sunil,Kumar,Male,India,South Asia,689d5acce78d625301071376,Database Developer (Software Developer),Job Description\nDatabase Developer\nThis is a remote working as part of Fidelity’s dynamic working arrangement.*Current work authorization for Canada is required for all openings.*\nWhat You Will Do\...,India,90,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:41:48.183573,ITC resume 20.pdf,Type_III,1vzYwRnVXmSOLiXACEykKLLgP8umPhG8AMLR40ytV_uo,https://docs.google.com/document/d/1vzYwRnVXmSOLiXACEykKLLgP8umPhG8AMLR40ytV_uo,200,ITC resume 20_Type_III,success,200,"{""documentID"": ""1vzYwRnVXmSOLiXACEykKLLgP8umPhG8AMLR40ytV_uo"", ""file_url"": ""https://docs.google.com/document/d/1vzYwRnVXmSOLiXACEykKLLgP8umPhG8AMLR40ytV_uo"", ""status"": 200, ""fileName"": ""ITC resume 20_Type_III""}",Mohan Khan,khan.xx@gmail.com,+1 (647) 444-0004,Mohan,Khan,Male,India,South Asia,689d5acce78d625301071376,Database Developer (Software Developer),Job Description\nDatabase Developer\nThis is a remote working as part of Fidelity’s dynamic working arrangement.*Current work authorization for Canada is required for all openings.*\nWhat You Will Do\...,India,90,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:42:23.244079,ITC resume 14.pdf,control,1xMZxyYBqBZWRpZ_macdJkvNmpuaJsmlwcAVBjC7ApsU,https://docs.google.com/document/d/1xMZxyYBqBZWRpZ_macdJkvNmpuaJsmlwcAVBjC7ApsU,200,ITC resume 14.pdf_control,success,200,"{""documentID"": ""1xMZxyYBqBZWRpZ_macdJkvNmpuaJsmlwcAVBjC7ApsU"", ""file_url"": ""https://docs.google.com/document/d/1xMZxyYBqBZWRpZ_macdJkvNmpuaJsmlwcAVBjC7ApsU"", ""status"": 200, ""fileName"": ""ITC resume 14.pdf_control""}",Zara Hassan,hassan.xx@gmail.com,+1 (416) 121-0009,Zara,Hassan,Female,Saudi Arabia,Middle East & North Africa,689d5acce78d62530107137b,"Application Developer, D365 Finance & Operations","Sporting Life Group is a proudly Canadian family of retail banners, Sporting Life, Golf Town, and Team Town Sports, united by a shared passion for sport and active living.\n  \nFrom individual pursuit...",Saudi Arabia,75,"Vaughan, ON, CA",2025-08-13,
2025-08-23T23:43:02.763763,ITC resume 14.pdf,Type_I,1Oc_L91n6QMcScH96bYu67D1h2hTmNYiUSZDXVtS-r6U,https://docs.google.com/document/d/1Oc_L91n6QMcScH96bYu67D1h2hTmNYiUSZDXVtS-r6U,200,ITC resume 14_Type_I,success,200,"{""documentID"": ""1Oc_L91n6QMcScH96bYu67D1h2hTmNYiUSZDXVtS-r6U"", ""file_url"": ""https://docs.google.com/document/d/1Oc_L91n6QMcScH96bYu67D1h2hTmNYiUSZDXVtS-r6U"", ""status"": 200, ""fileName"": ""ITC resume 14_Type_I""}",Fatima Rahman,rahman.xx@gmail.com,+1 (416) 121-0013,Fatima,Rahman,Female,Saudi Arabia,Middle East & North Africa,689d5acce78d62530107137b,"Application Developer, D365 Finance & Operations","Sporting Life Group is a proudly Canadian family of retail banners, Sporting Life, Golf Town, and Team Town Sports, united by a shared passion for sport and active living.\n  \nFrom individual pursuit...",Saudi Arabia,75,"Vaughan, ON, CA",2025-08-13,
2025-08-23T23:43:48.041742,ITC resume 14.pdf,Type_II,1prEDV-JhKxij1mLF75iQfXQc0VFnByztMIzOy_VVM9I,https://docs.google.com/document/d/1prEDV-JhKxij1mLF75iQfXQc0VFnByztMIzOy_VVM9I,200,ITC resume 14_Type_II,success,200,"{""documentID"": ""1prEDV-JhKxij1mLF75iQfXQc0VFnByztMIzOy_VVM9I"", ""file_url"": ""https://docs.google.com/document/d/1prEDV-JhKxij1mLF75iQfXQc0VFnByztMIzOy_VVM9I"", ""status"": 200, ""fileName"": ""ITC resume 14_Type_II""}",Aleena Karimi,karimi.xx@gmail.com,+1 (647) 121-0014,Aleena,Karimi,Female,Saudi Arabia,Middle East & North Africa,689d5acce78d62530107137b,"Application Developer, D365 Finance & Operations","Sporting Life Group is a proudly Canadian family of retail banners, Sporting Life, Golf Town, and Team Town Sports, united by a shared passion for sport and active living.\n  \nFrom individual pursuit...",Saudi Arabia,75,"Vaughan, ON, CA",2025-08-13,
2025-08-23T23:44:17.949255,ITC resume 14.pdf,Type_III,1gBIHZLGZod5-cRFdraUyiRskfS9Jseon2i80ZC2R48w,https://docs.google.com/document/d/1gBIHZLGZod5-cRFdraUyiRskfS9Jseon2i80ZC2R48w,200,ITC resume 14_Type_III,success,200,"{""documentID"": ""1gBIHZLGZod5-cRFdraUyiRskfS9Jseon2i80ZC2R48w"", ""file_url"": ""https://docs.google.com/document/d/1gBIHZLGZod5-cRFdraUyiRskfS9Jseon2i80ZC2R48w"", ""status"": 200, ""fileName"": ""ITC resume 14_Type_III""}",Hamza Mohamed,mohamed.xx@gmail.com,+1 (647) 121-0015,Hamza,Mohamed,Male,Saudi Arabia,Middle East & North Africa,689d5acce78d62530107137b,"Application Developer, D365 Finance & Operations","Sporting Life Group is a proudly Canadian family of retail banners, Sporting Life, Golf Town, and Team Town Sports, united by a shared passion for sport and active living.\n  \nFrom individual pursuit...",Saudi Arabia,75,"Vaughan, ON, CA",2025-08-13,
2025-08-23T23:44:46.121958,ITC resume 18.pdf,control,1TOyHwAsA4B1vmJbGefDW6ccol4scc526l_wYE19WgUw,https://docs.google.com/document/d/1TOyHwAsA4B1vmJbGefDW6ccol4scc526l_wYE19WgUw,200,ITC resume 18.pdf_control,success,200,"{""documentID"": ""1TOyHwAsA4B1vmJbGefDW6ccol4scc526l_wYE19WgUw"", ""file_url"": ""https://docs.google.com/document/d/1TOyHwAsA4B1vmJbGefDW6ccol4scc526l_wYE19WgUw"", ""status"": 200, ""fileName"": ""ITC resume 18.pdf_control""}",Louise Adebayo,adebayo.xx@gmail.com,+1 (416) 555-0005,Louise,Adebayo,Female,Eritrea,Sub-Saharan Africa,689d5acce78d62530107137c,Backend Developer (Python),"**Please note before applying:**  \n\n* We’re looking for individuals with hands\-on startup and SaaS experience who thrive in fast\-paced, product\-driven environments.\n* Applicants whose experience...",Eritrea,92,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:45:14.913050,ITC resume 18.pdf,Type_I,1sKeJxTdNBgJ_yxhe0LB-sfFy96VlnyyYelYq6Stt8sU,https://docs.google.com/document/d/1sKeJxTdNBgJ_yxhe0LB-sfFy96VlnyyYelYq6Stt8sU,200,ITC resume 18_Type_I,success,200,"{""documentID"": ""1sKeJxTdNBgJ_yxhe0LB-sfFy96VlnyyYelYq6Stt8sU"", ""file_url"": ""https://docs.google.com/document/d/1sKeJxTdNBgJ_yxhe0LB-sfFy96VlnyyYelYq6Stt8sU"", ""status"": 200, ""fileName"": ""ITC resume 18_Type_I""}",Amara Okoro,okoro.xx@gmail.com,+1 (416) 666-0006,Amara,Okoro,Female,Eritrea,Sub-Saharan Africa,689d5acce78d62530107137c,Backend Developer (Python),"**Please note before applying:**  \n\n* We’re looking for individuals with hands\-on startup and SaaS experience who thrive in fast\-paced, product\-driven environments.\n* Applicants whose experience...",Eritrea,92,"Toronto, ON, CA",2025-08-13,
2025-08-23T23:45:39.499123,ITC resume 18.pdf,Type_II,1hW6JT-jfl-RxjhSYcK3zNRPgx1hs5K8IItJb172INRU,https://docs.google.com/document/d/1hW6JT-jfl-RxjhSYcK3zNRPgx1hs5K8IItJb172INRU,200,ITC resume 18_Type_II,success,200,"{""documentID"": ""1hW6JT-jfl-RxjhSYcK3zNRPgx1hs5K8IItJb172INRU"", ""file_url"": ""https://docs.google.com/document/d/1hW6JT-jfl-RxjhSYcK3zNRPgx1hs5K8IItJb172INRU"", ""status"": 200, ""fileName"": ""ITC resume 18_Type_II""}",Michael Traoré,traore.xx@gmail.com,+1 (647) 777-0007,Michael,Traoré,Male,Eritrea,Sub-Saharan Africa,689d5acce78d62530107137c,Backend Developer (Python),"**Please note before applying:**  \n\n* We’re looking for individuals with hands\-on startup and SaaS experience who thrive in fast\-paced, product\-driven environments.\n* Applicants whose experience...",Eritrea,92,"Toronto, ON, CA",2025-08-13,
